encoding,condition,shift_freq,seed,final_fitness,fitness_jumps
folding,shifting,10,12,0.5633333333333334,10
direct,shifting,10,12,0.3433333333333334,2
folding,shifting,10,13,0.3666666666666667,11
direct,shifting,10,13,0.5633333333333334,13
folding,shifting,10,14,1.0,14
direct,shifting,10,14,1.0,19
folding,shifting,10,15,0.5633333333333334,11
direct,shifting,10,15,0.5533333333333333,9
folding,shifting,10,16,1.0,25
direct,shifting,10,16,1.0,14
folding,shifting,10,17,1.0,24
direct,shifting,10,17,0.05,0
folding,shifting,10,18,0.5633333333333334,19
direct,shifting,10,18,0.5633333333333334,15
folding,shifting,10,19,0.5633333333333334,19
direct,shifting,10,19,0.3433333333333334,13
folding,shifting,10,20,1.0,22
direct,shifting,10,20,0.05,0
folding,shifting,10,21,1.0,10
direct,shifting,10,21,0.5633333333333334,8
folding,shifting,10,22,1.0,21
direct,shifting,10,22,1.0,10
folding,shifting,10,23,1.0,17
direct,shifting,10,23,1.0,12
folding,shifting,10,24,0.42666666666666664,8
direct,shifting,10,24,0.05,0
folding,shifting,10,25,1.0,19
direct,shifting,10,25,0.05,0
folding,shifting,10,26,0.5633333333333334,8
direct,shifting,10,26,1.0,9
folding,shifting,10,27,1.0,20
direct,shifting,10,27,1.0,3
folding,shifting,10,28,1.0,18
direct,shifting,10,28,1.0,15
folding,shifting,10,29,0.5633333333333334,26
direct,shifting,10,29,0.05,0
folding,shifting,20,0,1.0,8
direct,shifting,20,0,1.0,3
folding,shifting,20,1,1.0,12
direct,shifting,20,1,1.0,12
folding,shifting,20,2,1.0,10
direct,shifting,20,2,1.0,10
folding,shifting,20,3,1.0,10
direct,shifting,20,3,0.33666666666666667,6
folding,shifting,20,4,1.0,12
direct,shifting,20,4,1.0,9
folding,shifting,20,5,1.0,9
direct,shifting,20,5,0.05,0
folding,shifting,20,6,0.4366666666666667,4
direct,shifting,20,6,1.0,11
folding,shifting,20,7,1.0,9
direct,shifting,20,7,0.49333333333333335,4
folding,shifting,20,8,1.0,15
direct,shifting,20,8,0.41,2
folding,shifting,20,9,1.0,10
direct,shifting,20,9,0.49333333333333335,6
folding,shifting,20,10,1.0,13
direct,shifting,20,10,0.49333333333333335,5
folding,shifting,20,11,1.0,13
direct,shifting,20,11,1.0,7
folding,shifting,20,12,0.33666666666666667,4
direct,shifting,20,12,0.33666666666666667,1
folding,shifting,20,13,1.0,7
direct,shifting,20,13,1.0,10
folding,shifting,20,14,1.0,10
direct,shifting,20,14,1.0,8
folding,shifting,20,15,1.0,12
direct,shifting,20,15,0.49333333333333335,6
folding,shifting,20,16,1.0,13
direct,shifting,20,16,1.0,10
folding,shifting,20,17,1.0,15
direct,shifting,20,17,0.05,0
